ID,domain,sub_competency,difficulty,q_type,Question,Option A,Option B,Option C,Option D,Answer,Teaching Explanation,Story (Why),Implementation (How),Reflection / Considerations,Child Impact Story,Science Behind It,Practical Application Strategy,Why Behind It,resources
66,Inclusion,inclusive play,1,mcq,What is the best practice for inclusive play?,"Follow the proper steps for inclusive play, ensuring consistency and safety.",Try a random approach to inclusive play without preparation.,Skip inclusive play and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for inclusive play? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,Consider how this inclusive play strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for inclusive play, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for inclusive play in a short role-play and have teachers practice.,"• Ensures every child can participate fully
• Builds empathy and social cohesion
• Adapts environment to diverse needs and abilities","[""inclusive_play_video"", ""inclusive_play_quiz""]"
67,Social-Emotional Development,trauma-informed care,3,mcq,What is the best practice for trauma-informed care?,"Follow the proper steps for trauma-informed care, ensuring consistency and safety.",Try a random approach to trauma-informed care without preparation.,Skip trauma-informed care and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for trauma-informed care? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,Consider how this trauma-informed care strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,"• Validates children’s feelings and experiences
• Builds safety and trust in the environment
• Reduces risk of re-traumatization","[""trauma-informed_care_video"", ""trauma-informed_care_quiz""]"
68,Classroom Management,transitions,3,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
69,Social-Emotional Development,attachment building,1,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
70,Social-Emotional Development,attachment building,4,mcq,What is the best practice for attachment building?,"Follow the proper steps for attachment building, ensuring consistency and safety.",Try a random approach to attachment building without preparation.,Skip attachment building and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for attachment building? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,Consider how this attachment building strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for attachment building, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for attachment building in a short role-play and have teachers practice.,"• Creates a secure emotional foundation
• Encourages exploration knowing safety is available
• Builds trust and healthy caregiver-child bonds","[""attachment_building_video"", ""attachment_building_quiz""]"
71,Social-Emotional Development,serve-and-return,1,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
72,Social-Emotional Development,serve-and-return,1,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
73,Physical Development,gross motor skills,3,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
74,Curriculum,developmentally appropriate practice,3,mcq,What is the best practice for developmentally appropriate practice?,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety.",Try a random approach to developmentally appropriate practice without preparation.,Skip developmentally appropriate practice and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for developmentally appropriate practice? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,Consider how this developmentally appropriate practice strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for developmentally appropriate practice, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for developmentally appropriate practice in a short role-play and have teachers practice.,"• Matches activities to each child’s abilities
• Prevents frustration or boredom
• Promotes optimal learning outcomes","[""developmentally_appropriate_practice_video"", ""developmentally_appropriate_practice_quiz""]"
75,Physical Development,gross motor skills,1,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
76,Classroom Management,transitions,2,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
77,Guidance & Discipline,positive reinforcement,1,mcq,What is the best practice for positive reinforcement?,"Follow the proper steps for positive reinforcement, ensuring consistency and safety.",Try a random approach to positive reinforcement without preparation.,Skip positive reinforcement and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for positive reinforcement? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,Consider how this positive reinforcement strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for positive reinforcement, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for positive reinforcement in a short role-play and have teachers practice.,"• Increases desired behaviors via rewards
• Builds self-esteem and motivation
• Encourages repetition and mastery of skills","[""positive_reinforcement_video"", ""positive_reinforcement_quiz""]"
78,Language & Literacy,emergent literacy,2,mcq,What is the best practice for emergent literacy?,"Follow the proper steps for emergent literacy, ensuring consistency and safety.",Try a random approach to emergent literacy without preparation.,Skip emergent literacy and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for emergent literacy? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,Consider how this emergent literacy strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for emergent literacy, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for emergent literacy in a short role-play and have teachers practice.,"• Embeds literacy in meaningful, playful contexts
• Fosters awareness of symbols and text
• Encourages creative expression with language","[""emergent_literacy_video"", ""emergent_literacy_quiz""]"
79,Teaching Strategies,scaffolding,4,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
80,Assessment,formative assessment,1,mcq,What is the best practice for formative assessment?,"Follow the proper steps for formative assessment, ensuring consistency and safety.",Try a random approach to formative assessment without preparation.,Skip formative assessment and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for formative assessment? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,Consider how this formative assessment strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,"• Provides ongoing feedback for learners
• Guides instructional adjustments in real time
• Supports individual learning trajectories","[""formative_assessment_video"", ""formative_assessment_quiz""]"
81,Teaching Strategies,scaffolding,2,mcq,What is the best practice for scaffolding?,"Follow the proper steps for scaffolding, ensuring consistency and safety.",Try a random approach to scaffolding without preparation.,Skip scaffolding and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for scaffolding? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,Consider how this scaffolding strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for scaffolding, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for scaffolding in a short role-play and have teachers practice.,"• Supports skill-building just above current ability
• Boosts confidence through guided success
• Promotes independence by gradually removing support","[""scaffolding_video"", ""scaffolding_quiz""]"
82,Physical Development,gross motor skills,5,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
83,Health & Safety,diapering safety,4,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
84,Social-Emotional Development,serve-and-return,5,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
85,Physical Development,gross motor skills,1,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
86,Social-Emotional Development,trauma-informed care,4,mcq,What is the best practice for trauma-informed care?,"Follow the proper steps for trauma-informed care, ensuring consistency and safety.",Try a random approach to trauma-informed care without preparation.,Skip trauma-informed care and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for trauma-informed care? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,Consider how this trauma-informed care strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for trauma-informed care, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for trauma-informed care in a short role-play and have teachers practice.,"• Validates children’s feelings and experiences
• Builds safety and trust in the environment
• Reduces risk of re-traumatization","[""trauma-informed_care_video"", ""trauma-informed_care_quiz""]"
87,Assessment,formative assessment,2,mcq,What is the best practice for formative assessment?,"Follow the proper steps for formative assessment, ensuring consistency and safety.",Try a random approach to formative assessment without preparation.,Skip formative assessment and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for formative assessment? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,Consider how this formative assessment strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,"• Provides ongoing feedback for learners
• Guides instructional adjustments in real time
• Supports individual learning trajectories","[""formative_assessment_video"", ""formative_assessment_quiz""]"
88,Social-Emotional Development,serve-and-return,2,mcq,What is the best practice for serve-and-return?,"Follow the proper steps for serve-and-return, ensuring consistency and safety.",Try a random approach to serve-and-return without preparation.,Skip serve-and-return and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for serve-and-return? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,Consider how this serve-and-return strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for serve-and-return, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for serve-and-return in a short role-play and have teachers practice.,"• Builds neural pathways through responsive interaction
• Strengthens social and language skills
• Reinforces emotional security through engagement","[""serve-and-return_video"", ""serve-and-return_quiz""]"
89,Classroom Management,transitions,3,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
90,Classroom Management,transitions,4,mcq,What is the best practice for transitions?,"Follow the proper steps for transitions, ensuring consistency and safety.",Try a random approach to transitions without preparation.,Skip transitions and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for transitions? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,Consider how this transitions strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for transitions, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for transitions in a short role-play and have teachers practice.,"• Prepares emotions for upcoming change
• Reduces tantrums and resistance
• Builds predictability and self-regulation skills","[""transitions_video"", ""transitions_quiz""]"
91,Assessment,formative assessment,2,mcq,What is the best practice for formative assessment?,"Follow the proper steps for formative assessment, ensuring consistency and safety.",Try a random approach to formative assessment without preparation.,Skip formative assessment and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for formative assessment? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,Consider how this formative assessment strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for formative assessment, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for formative assessment in a short role-play and have teachers practice.,"• Provides ongoing feedback for learners
• Guides instructional adjustments in real time
• Supports individual learning trajectories","[""formative_assessment_video"", ""formative_assessment_quiz""]"
92,Physical Development,gross motor skills,4,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
93,Assessment,observation techniques,4,mcq,What is the best practice for observation techniques?,"Follow the proper steps for observation techniques, ensuring consistency and safety.",Try a random approach to observation techniques without preparation.,Skip observation techniques and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for observation techniques? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,Consider how this observation techniques strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for observation techniques, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for observation techniques in a short role-play and have teachers practice.,"• Gathers accurate data on child behavior
• Informs targeted lesson planning
• Tracks developmental progress over time","[""observation_techniques_video"", ""observation_techniques_quiz""]"
94,Physical Development,gross motor skills,3,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
95,Health & Safety,diapering safety,2,mcq,What is the best practice for diapering safety?,"Follow the proper steps for diapering safety, ensuring consistency and safety.",Try a random approach to diapering safety without preparation.,Skip diapering safety and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for diapering safety? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,Consider how this diapering safety strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for diapering safety, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for diapering safety in a short role-play and have teachers practice.,"• Prevents accidents by ensuring hands stay on the child
• Maintains hygiene and prevents diaper-area rashes
• Allows caregiver to focus fully on the child without distraction","[""diapering_safety_video"", ""diapering_safety_quiz""]"
96,Physical Development,gross motor skills,3,mcq,What is the best practice for gross motor skills?,"Follow the proper steps for gross motor skills, ensuring consistency and safety.",Try a random approach to gross motor skills without preparation.,Skip gross motor skills and let children figure it out.,Tell a story and hope they learn organically.,A,"Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Imagine a time when what is the best practice for gross motor skills? went wrong; using this practice creates calm and order.,Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,Consider how this gross motor skills strategy minimizes disruptions and encourages engagement.,"A child became more comfortable after the teacher applied this practice, showing better participation.","Follow the proper steps for gross motor skills, ensuring consistency and safety. This approach reduces risk and supports steady skill development.",Demonstrate the correct procedure for gross motor skills in a short role-play and have teachers practice.,"• Enhances overall physical health
• Improves balance and coordination
• Supports cognitive development through movement","[""gross_motor_skills_video"", ""gross_motor_skills_quiz""]"
