Topic,Subtopic,Suggested Citation,Title/Description,Link to Video,Length of Video,Year Created,EI/ECSE Standards,DEC Recommended Practices,,
Development,Toxic Stress ,National Scientific Council on the Developing Child. (2011). Three Core Conceptions de Early Development: Video 3: Toxic & Stress Derails Healthy Development [Video]. Center for the Developing Child Harvard University. https://developingchild.harvard.edu/resources/toxic-stress-derails-healthy-development/,"Three Core Concepts in Early Development: Video 3: Toxic Stress Derails Healthy Development: Describes how without caring adults to buffer children, the unrelenting stress caused by extreme poverty, neglect, abuse, or severe maternal depression can weaken the architecture of the developing brain, with long-term consequences for learning, behavior, and both physical and mental health.",https://developingchild.harvard.edu/resources/toxic-stress-derails-healthy-development/,1:51,2011,1.2,,,
Development,Early Learning and Development,National Scientific Council on the Developing Child. (2011). Three Core Conceptions in Early Development: Video 1: Experiences Build Brain Architecture [Video]. Center for the Developing Child Harvard University.  https://developingchild.harvard.edu/resources/serve-return-interaction-shapes-brain-circuitry/,Three Core Concepts in Early Development: Video 1: Experiences Build Brain Architecture: Describes the basic architecture of the brain and how it is constructed through a process that begins early in life and continues into adulthood.,https://developingchild.harvard.edu/resources/serve-return-interaction-shapes-brain-circuitry/,1:56,2011,1.2,,,
Development,Serve and Return,National Scientific Council on the Developing Child. (2011). Three Core Conceptions in Early Development: Video 2: Serve & Return Interaction Shapes Brain Circuitry [Video]. Center for the Developing Child Harvard University.  https://developingchild.harvard.edu/resources/serve-return-interaction-shapes-brain-circuitry/,Three Core Concepts in Early Development: Video 2: Serve & Return Interaction Shapes Brain Circuitry: Describes one of the most essential experiences in shaping the architecture of the developing brain is “serve and return” interaction between children and significant adults in their lives.,https://developingchild.harvard.edu/resources/serve-return-interaction-shapes-brain-circuitry/,1:42,2011,1.2,,,
Development,Resiliency,National Scientific Council on the Developing Child. (2015). InBrief: How Resilience Is Built [Video]. Center for the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-how-resilience-is-built/,"InBrief: How Resilience Is Built: Children are not born with resilience, which is produced through the interaction of biological systems and protective factors in the social environment. The active ingredients in building resilience are supportive relationships with parents, coaches, teachers, caregivers, and other adults in the community. ",https://developingchild.harvard.edu/resources/inbrief-how-resilience-is-built/,2:17,2015,1.2,F5,,
Development,Resiliency,National Scientific Council on the Developing Child. (2015). InBrief: The Science of Resilience [Video]. Center for the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-the-science-of-resilience-2/,"InBrief: The Science of Resilience: Illustrates the science of resilience, and see how genes and experience interact to produce positive outcomes for children. One way to understand the development of resilience is to picture a balance scale or seesaw. Protective experiences and adaptive skills on one side counterbalance significant adversity on the other. ",https://developingchild.harvard.edu/resources/inbrief-the-science-of-resilience-2/,2:30,2015,1.2,F5,,
Development,Resiliency,National Scientific Council on the Developing Child. (2015). InBrief: What Is Resilience? [Video]. Center for the Developing Child Harvard University. https://developingchild.harvard.edu/resources/inbrief-what-is-resilience/,"InBrief: What Is Resilience?: The science of resilience can help us understand why some children do well despite serious adversity. Resilience is a combination of protective factors that enable people to adapt in the face of serious hardship, and is essential to ensuring that children who experience adversity can still become healthy, productive citizens.",https://developingchild.harvard.edu/resources/inbrief-what-is-resilience/,2:23,2015,1.2,,,
Development,Early Learning and Development,"Netflix. (2020, April 17). Babies - Crawling - Full Episode - Netflix [Video]. YouTube. https://www.youtube.com/watch?app=desktop&v=1T3RHuPB_cg","Babies - Crawling - Full Episode - Netflix: From how they grow to how they go, three scientists find out that crawling is much more than just a transitional phase.",https://www.youtube.com/watch?v=1T3RHuPB_cg,4:11,2020,1.2,,,
Development,Early Learning and Development,"Netflix. (2020, April 17). Babies - First Steps - Full Episode - Netflix [Video]. YouTube. https://www.youtube.com/watch?v=p1otGt99Rec","Babies - First Steps - Full Episode - Netflix: Scientists venture into the ways that walking changes a baby's world and unveil findings on neonatal reflexes, skeletal development and talking.",https://www.youtube.com/watch?v=p1otGt99Rec,1:10,2020,1.2,,,
Development,Early Learning and Development,"Netflix. (2020, April 17). Babies - First Words - Full Episode - Netflix [Video]. YouTube. https://www.youtube.com/watch?v=BFtbXwnBRg8",Babies - First Words - Full Episode - Netflix: Experts examine the rhythm and flow of language and explore how babies break down linguistic beats before they know how to speak,https://www.youtube.com/watch?v=BFtbXwnBRg8,2:41,2020,1.2,,,
,,,,,,,,,,
Development,Early Learning and Development,"Netflix. (2020, April 17). Babies - Sleep - Full Episode - Netflix [Video]. YouTube. https://www.youtube.com/watch?v=KJCL9LR6rJI","Babies - Sleep - Full Episode - Netflix: Researchers delve into sleep, a dynamic time for babies, with studies on twitching, apps and naps.",https://www.youtube.com/watch?v=KJCL9LR6rJI,0:45,2020,1.2,,,
Development,Resiliency,Office of Head Start. (2020). Breaking Through: Understanding Stress and Resilience in Young Children[Video]. Head Start Early Childhood Learning and Knowledge Center. https://eclkc.ohs.acf.hhs.gov/mental-health/article/understanding-stress-resilience-young-children-video-series,Breaking Through: Understanding Stress and Resilience in Young Children: Describes how high levels and stress can impact a child's lifelong health and wellbeing; a comprehensive program for children and their families who have experienced trauma and toxic stress; and the importance of screening and addressing trauma and toxic stress. ,https://www.youtube.com/watch?v=dR7fHbg9cl0,21:28,2020,1.3,A6,,
Development,Toxic Stress ,Office of Head Start. (2020). Understanding Stress and Resilience in Young Children [Video]. Head Start Early Childhood Learning and Knowledge Center. https://eclkc.ohs.acf.hhs.gov/mental-health/article/understanding-stress-resilience-young-children-video-series,"Understanding Stress and resilience in Young Children: Head Start Staff: Reviews the ACES study, importance of reducing the adversity that children are experiencing today, and the correlation between childhood adversity and behavior concerns.  ",https://eclkc.ohs.acf.hhs.gov/video/understanding-stress-resilience-young-children-head-start-staff,7:54,2020,1.3,A6,,
Development,Disability Specific,"Osmosis. (2016, October 12). Spina Bifida (Myelomeingocele, Meningocele, Occulta)- Causes, Symptoms, Treatment) [Video]. YouTube. https://www.youtube.com/watch?v=jlDZA2PNW2o","Spina Bifida (Myelomeningocele, Meningocele, Occulta) – Causes, Symptoms, Treatment: The causes, symptoms, types of, and treatment for spina bifida are discussed.",https://www.youtube.com/watch?v=jlDZA2PNW2o,6:31,2016,1.4,,,
Development,Presuming Competence,"Patel, S. & Irwin, E. (Producers). (2017). Three Ways Teachers Can Support Kids with Autism [Video]. Education Week. https://www.edweek.org/teaching-learning/video-three-ways-teachers-can-support-kids-with-autism/2017/04","Three Ways Teachers Can Support Kids With Autism: With the backdrop of Julia, a muppet with autism from sesame workshop, Laura Anthony, a clinical psychologist describes three strategies to support children with autism. ",https://www.edweek.org/teaching-learning/video-three-ways-teachers-can-support-kids-with-autism/2017/04,4:18,2017,1.4,INS1,,
Development,Disability Specific ,Pathways. (2011). Torticollis: The Importance of Tummy Time [Video]. Pathways. https://pathways.org/watch/torticollis-and-the-importance-of-tummy-time-meet-jonathan/,"Torticollis: The Importance of Tummy Time: Illustrates Jonathan’s journey through pediatric physical therapy to help improve his positional torticollis. Signs such as a head tilt, not reaching his 3 month milestone of lifting his head up, and loose tone led to the early detection of positional torticollis in Jonathon. After physical therapy sessions and therapy done at home his posture, motor development and balance improved.",https://pathways.org/watch/torticollis-and-the-importance-of-tummy-time-meet-jonathan/,4:23,2011,1.3,A8,,
Development,Disability Specific,"Pursuing Family. (2020, March 28). Micro Preemie to 4 Years Old- 23 Week Baby Survival Story Update[Video]. YouTube. https://www.youtube.com/watch?v=1H94Xwe1cS4","Micro Preemie to 4 Years Old - 23 Week Baby Survival Story Update: The story of James's journey from birth at 23 weeks gestation, his 4.5 month NICU stay, and his progression at age 4. ",https://www.youtube.com/watch?v=1H94Xwe1cS4,11:46,2020,1.4,,,
Development,Social Emotional,"Pyramid Model. (2018, May 17). Promoting Social Emotional Competence [Video]. YouTube. https://www.youtube.com/watch?v=zTl7rfcIhvM",Promoting Social Emotional Competence: Provides a foundation for understanding the Pyramid Model as a framework for promoting young children’s social and emotional development and preventing and addressing challenging behavior. ,https://www.youtube.com/watch?v=zTl7rfcIhvM,3:40,2018,1.2,,,
Development,Social Emotional,"Pyramid Model. (2021, March 23). Supporting our Youngest Learners: Trauma, Mental Health Concerns, & Social Emotional Wellness [Video]. YouTube. https://www.youtube.com/watch?v=ATwKT4MZp48","Supporting our Youngest Learners: Trauma, Mental Health Concerns, & Social Emotional Wellness: Describes the impact of COVID-19 and potential impact on children's social emotional wellness. The video provides guidance on pivotal practices that can promote social emotional skill development and how programs can use a trauma -informed care approach.",https://www.youtube.com/watch?v=ATwKT4MZp48,9:15,2021,1.2,INT1 ,,
Development,Early Learning and Development ,"Alana Snow. (2015, October 13). Behaviorism: Pavlov, Watson, and Skinner [Video]. YouTube. https://www.youtube.com/watch?v=xvVaTy8mQrg","Behaviorism: Pavlov, Watson, and Skinner: An educational video about Behaviorism: Ivan Pavlov, John Watson, and B.F. Skinner. This video covers classical and operant conditioning.",https://www.youtube.com/watch?v=xvVaTy8mQrg,4:57,2015,1.1,,,
Development,Early Learning and Development ,"Alana Snow. (2015, October 14). Behaviorism: Part 2 [Video]. YouTube. https://www.youtube.com/watch?v=eLaa8cgljKk","Behaviorism: Part 2: This video discusses behaviorists’ views on   operant conditioning, reinforcement types, and reinforcement schedules.",https://www.youtube.com/watch?v=eLaa8cgljKk,5:05,2015,1.1,,,
Development,Early Learning and Development,"Sprouts. (2017, April 23). Eight Stages of Development by Erik Erikson. YouTube. https://www.youtube.com/watch?v=aYCBdZLCDBQ",Eight Stages of Development by Erik Erikson: Erik Erikson was a German American psychologist who became known for his theory of psychosocial development. This video discusses with examples the eight stages of his theory. ,https://www.youtube.com/watch?v=aYCBdZLCDBQ,5:19,2017,1.1,,,
Development,Early Learning and Development,"Sprouts. (2019, November 29). Kohlberg's 6 Stages of Moral Development [Video]. YouTube. https://www.youtube.com/watch?v=bounwXLkme4","Kohlberg's 6 Stages of Moral Development: Lawrence Kohlberg's theory claims that our development of moral reasoning happens in six stages: 1. Obedience and Punishment, 2. Self-interest 3. Interpersonal Accord and Conformity 4. Authority and maintaining social order, 5. Social Contract, 6. Universal Ethical principles. With examples, these stages are explained.",https://www.youtube.com/watch?v=bounwXLkme4,6:45,2019,1.1,,,
Development,Early Learning and Development,"Sprouts. (2020, February 28). Vygotsky's Theory of Cognitive Development: How Relationships Increase Learning[Video]. YouTube. https://www.youtube.com/watch?v=8I2hrSRbmHE",Vygotsky’s Theory of Cognitive Development: How Relationships Increase Learning: Vygotsky’s Theory of Social Development argues that community and language play a central part in learning. Vygotsky believed that children develop independently of specific stages because of social interactions.  This video discusses and provides examples of social relationships impact development. ,https://www.youtube.com/watch?v=8I2hrSRbmHE,5:08,2020,1.1,,,
Development,Disability Specific,"Stolen Childhood. (2019, March 25). Stolen Childhood (2019) [Video]. YouTube. https://www.youtube.com/watch?v=Cprp-zhkDCM","Stolen Childhood: What happens when familiar signs of mental illness- rapid-onset OCD, tics, generalized anxiety, hyperactivity - are misdiagnosed? This is the unfortunate reality for children living with the auto-immune disease known as PANDAS. ",https://www.youtube.com/watch?v=Cprp-zhkDCM,4:13,2019,1.4,,,
Development,Early Learning and Development,"Robin Suitt. (2014, August 17). Baby Human To Talk 5 Imitation [Video]. YouTube. https://www.youtube.com/watch?v=9FhImmxcwbs&list=RDSMWLWknX0po",Mix - Baby Human To Talk 5 Imitation: Dr. Meltzoff conducts experiments around the role of imitation in the development of communication. The give and take that occurs during the development of communication is reviewed. ,https://www.youtube.com/watch?v=9FhImmxcwbs&list=RDSMWLWknX0po,8:06,2014,1.2,,,
Development,Early Learning and Development,"Robin Suitt. (2014, August 17). Baby Human To Talk Gestures [Video]. YouTube. https://www.youtube.com/watch?v=NyitkrD_WbQ&list=RDSMWLWknX0po","Mix - Baby Human To Talk Gestures:  Feelings, intentions, and desires can be conveyed through a gesture. Pointing, an important gesture, represents a large cognitive leap for babies. Dr. Amanda Woodward conducts experiments around pointing. ",https://www.youtube.com/watch?v=NyitkrD_WbQ&list=RDSMWLWknX0po,6:51,2014,1.2,,,
Development,Early Learning and Development,"Robin Suitt. (2014, August 17). Baby Human To Talk Language[Video]. YouTube. https://www.youtube.com/watch?v=HZM4Qem1eSk",Mix - Baby Human To Talk Language: Reviews the sensitive period associated with an infant's ability to discriminate sounds from different languages. ,https://www.youtube.com/watch?v=HZM4Qem1eSk,9:49,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, August 17). CDE Baby Human to Talk 1 Sounds [Video]. YouTube. https://www.youtube.com/watch?v=-g464VAomog","CDE Baby Human To Talk 1 Sounds: Reviews the infant's communication capacities, that begin before birth. Experiments conducted by Dr. Janet Werker demonstrate the newborns' preference for their native language.",https://youtu.be/-g464VAomog,7:55,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, July 22). Baby Human- To Walk Cruising [Video]. YouTube. https://www.youtube.com/watch?v=TKE77zny-ss","Baby Human To Walk Cruising: The development of movement is related to an infant's understanding of the world and his or her emotional life. Karen Adolph,  a Developmental Psychologist, studies infant understanding of unsafe situations in her lab. ",https://www.youtube.com/watch?v=TKE77zny-ss,8:01,2014,1.1,A4,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11).  Baby Human to Feel 6 Self Conscious [Video]. YouTube. https://www.youtube.com/watch?v=81EoaJMNay4","CDE Baby Human to Feel 6 Self Conscious: The development of the self-conscious emotions, which includes embarrassment, shame and pride, is examined within a research lab and related to everyday experiences in learning. ",https://www.youtube.com/watch?v=81EoaJMNay4,9:53,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11). Baby Human to Feel 4 Responses [Video]. YouTube. https://www.youtube.com/watch?v=bfYnwT2Nx7c",CDE Baby Human to Feel 4 Responses: Examines children's temperament in relation to their emotional responses and how parenting is heavily influenced by children's temperament. ,https://www.youtube.com/watch?v=bfYnwT2Nx7c,8:07,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11). CDE Baby Human to Feel 1 Facial Reactions [Video]. YouTube. https://www.youtube.com/watch?v=wyHnbU9pSvU",CDE Baby Human to Feel 1 Facial Reactions: The newborn's transition to a social being and growing ability to express emotion is reviewed. ,https://www.youtube.com/watch?v=wyHnbU9pSvU,6:05,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11). CDE Baby Human to Feel 2 Stimulation [Video]. YouTube. https://www.youtube.com/watch?v=eTylRr4kBoM",CDE Baby Human to Feel 2 Stimulation: A baby's ability to understand the emotions of others and the role of temperament  in a baby's response to stimulation are reviewed.,https://www.youtube.com/watch?v=eTylRr4kBoM,8:24,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11). CDE Baby Human to Feel 3 Temperament [Video]. YouTube. https://www.youtube.com/watch?v=fAmyt5gRd3k",CDE Baby Human to Feel 3 Temperament: Examines how young children's temperament determines their response to stimuli and risk.  EEG studies examine brain response to stimuli. ,https://www.youtube.com/watch?v=fAmyt5gRd3k,8:47,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 11). CDE Baby Human to Feel 5 Coping [Video]. YouTube. https://www.youtube.com/watch?v=9twzo8V6TQA",CDE Baby Human to Feel 5 Coping:  Demonstrates the varying responses of individual children as they learn to cope independently with emotions such as frustration and fear. ,https://www.youtube.com/watch?v=9twzo8V6TQA,8:55,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 21). Baby Human To Relate 3 Gazing [Video]. YouTube. https://www.youtube.com/watch?v=JkkJrqKnmcw",CDE Baby Human To Relate 3 Gazing: The  development of gaze and following the focus of another's attention is examined within a research lab and related to everyday experiences in learning. ,https://www.youtube.com/watch?v=JkkJrqKnmcw,9:56,2014,1.2,,,
Development,Early Learning and Development ,"Robin Suitt. (2014, September 21). CDE Baby Human to Relate 1 Motion [Video]. YouTube. https://www.youtube.com/watch?v=Sh22AJay_yY",CDE Baby Human To Relate 1 Motion:  The understanding of motion and actions is examined in a research lab and related to everyday experiences in learning. ,https://www.youtube.com/watch?v=Sh22AJay_yY,6:13,2014,1.2,,,
Development,Trauma,"TED. (2015, February 17). How Childhood Trauma Affects Health Across a Lifetime [Video]. YouTube. https://www.youtube.com/watch?v=95ovIJ3dsNk","How Childhood Trauma Affects Health Across a Lifetime: Reviews how exposure to childhood trauma and adverse childhood experiences impacts brain development, the immune system and hormonal systems. ",https://www.youtube.com/watch?v=95ovIJ3dsNk,16:02,2015,1.3,,,
Development,Disability Specific,The Children's Hospital of Philadelphia. (n.d.). Explaining Cleft Lip and Palate [Video]. https://www.chop.edu/video/diagnosis-and-treatment-cleft-lip-and-palate,"Explaining Cleft Lip and Palate: This video explains what cleft lip and palate are, causes, types, treatment, and any potential impacts on development.   ",https://www.chop.edu/video/diagnosis-and-treatment-cleft-lip-and-palate,4:17,,1.4,A8,,
Development,Disability Specific,"Our Extra Gift. (2019, February 11). Eva's first year of life. Our Down Syndrome Journey[Video]. YouTube. https://www.youtube.com/watch?v=GzZMokyNs94","Eva's first year of life. Our Down Syndrome Journey: Illustrates the first year of Eva's life from her birth day, to surgery day to the celebration of her first year of life. ",https://www.youtube.com/watch?v=GzZMokyNs94,18:08,2019,1.4,,,
Development,Disability Specific,"Our Extra Gift. (2020, February 1). A typical day in the life of our 2 year old daughter with Down Syndrome[Video]. YouTube. https://www.youtube.com/watch?v=sQr16gyXz70",A typical day in the life of our 2 year old daughter with Down Syndrome: Illustrates a typical day in Eva's life from waking up in the morning until bed at night. ,https://www.youtube.com/watch?v=sQr16gyXz70,11:53,2020,1.4,,,
Development,Disabilty Specifc,"ThroughChildsEyes. (2011, February 5). Through Your Child's Eyes: American Sign Language [Video]. YouTube. https://www.youtube.com/watch?v=FV69iJuXwP4",Through Your Child’s Eyes: American Sign Language: Parents and professionals discuss their use of American Sign Language with children beginning in infancy and the benefits of this alternative communication system. ,https://www.youtube.com/watch?v=FV69iJuXwP4&feature=emb_logo,13:16,2011,1.4,INS2,,
Development,Assistive Technology,"Utah Assistive Technology Program. (2012, February 6). Communication Assistive Technology for Early Intervention [Video]. YouTube. https://www.youtube.com/watch?v=ApG0ahrgipw","Communication Assistive Technology for Early Intervention: Brief review of development of communication, then detailed discussion regarding strategies and communication assistive technology to support speech and communication.  ",https://www.youtube.com/watch?v=ApG0ahrgipw,4:02,2012,6.6,INS4,,
Development,Disability Specific,"Williams Syndrome Association. (n.d.). Extraordinary Gifts, Unique Challenges Video [Video]. Williams Syndrome Association. https://williams-syndrome.org/resources/video/extraordinary-gifts-unique-challenges-video","Extraordinary Gifts, Unique Challenges Video: Describes Williams Syndrome and showcases individuals, both children and adults. ",https://williams-syndrome.org/resources/video/extraordinary-gifts-unique-challenges-video,9:28,,1.4,,,
Development,Early Learning and Development ,Zero to Three. (2013). Magic of Everyday Moments: Brain Wonders: Nurturing Healthy Brain Development from Birth[Video]. Zero to Three. https://www.zerotothree.org/resources/156-brain-wonders-nurturing-healthy-brain-development-from-birth,Magic of Everyday Moments: Brain Wonders: Nurturing Healthy Brain Development from Birth: This video discusses the experiences that families and other caregivers can provide that promote brain development during the first three years of life.,https://www.zerotothree.org/resources/156-brain-wonders-nurturing-healthy-brain-development-from-birth,6:00,2013,1.3,,,
Development,Play,Zero to Three. (2013). Magic of Everyday Moments: The Power of Play: Building Skills and Having Fun [Video]. Zero to Three. https://www.zerotothree.org/resources/158-power-of-play-building-skills-and-having-fun,"Magic of Everyday Moments: The Power of Play: Building Skills and Having Fun: Play is how children learn to communicate, problem solve, test ideas, and get along with others.  The importance of adults, including parents, is emphasized.",https://www.zerotothree.org/resources/158-power-of-play-building-skills-and-having-fun,5:33,2013,1.2,,,
Development,Everyday Learning Opportunities,Zero to Three. (2014). Magic of Everyday Moments: Development from 12-24 Months Old: Strong Positive Connections and Interactions Fuel Learning[Video]. Zero to Three. https://www.zerotothree.org/resources/192-development-from-12-to-24-months-old-strong-positive-connections-and-interactions-fuel-learning,"Magic of Everyday Moments: Development from 12-24 Months Old: Strong Positive Connections and Interactions Fuel Learning: The development of social, language, and physical skills is related to the interactions and connections children have with the important people in their lives. ",https://www.zerotothree.org/resources/192-development-from-12-to-24-months-old-strong-positive-connections-and-interactions-fuel-learning,3:54,2014,1.2,,,
Development,Early Learning and Development ,Zero to Three. (2015). Magic of Everyday Moments: Busy Bodies: How the Physical Skills Support Learning[Video]. Zero to Three. https://www.zerotothree.org/resources/201-busy-bodies-how-the-development-of-physical-skills-supports-learning,"Magic of Everyday Moments: Busy Bodies: How the Physical Skills Support Learning: Describes the changes in physical development that occur and the importance of active play for problem solving, peer interaction, communication, and emotional regulation. The important role of a nurturing parent is emphasized. ",https://www.zerotothree.org/resources/201-busy-bodies-how-the-development-of-physical-skills-supports-learning,6:22,2015,1.2,,,
Development,Early Learning and Development,Zero to Three. (2015). Magic of Everyday Moments: From Feelings to Friendships: Nurturing Healthy Social-Emotional Development in the Early Years[Video]. Zero to Three. https://www.zerotothree.org/resources/30-from-feelings-to-friendships-nurturing-healthy-social-emotional-development-in-the-early-years,"Magic of Everyday Moments: From Feelings to Friendships: Nurturing Healthy Social-Emotional Development in the Early Years: Social-emotional developmental milestones from birth to three years are discussed.  Experiences that families, early interventionists, and other caregivers facilitate or support to promote social-emotional development are demonstrated and discussed.   ",https://www.zerotothree.org/resources/30-from-feelings-to-friendships-nurturing-healthy-social-emotional-development-in-the-early-years,5:32,2015,1.2,,,
Development,Everyday Learning Opportunities,Zero to Three. (2016). Magic of Everyday Moments: Responsive Care: Nurturing a Strong Attachment During Everyday Moments[Video]. Zero to Three. https://www.zerotothree.org/resources/230-responsive-care-nurturing-a-strong-attachment-through-everyday-moments,"Magic of Everyday Moments: Responsive Care: Nurturing a Strong Attachment During Everyday Moments: This video illustrates how parents and caregivers support a child's social emotional development as they interact with them through responsive care. Discusses aspects of social emotional development including: self-regulation, trust, attachment, and empathy. ",https://www.zerotothree.org/resources/230-responsive-care-nurturing-a-strong-attachment-through-everyday-moments,5:56,2016,1.2,INT2,,
Development,Early Learning and Development,American Society of Pediatric Otolaryngology. (n.d.). Could My Child Have A Hearing Problem? [Video]. American Society of Pediatric Otolaryngology. https://www.healthychildren.org/English/health-issues/conditions/ear-nose-throat/Pages/Could-My-Child-Have-A-Hearing-Problem.aspx,"Could My Child Have A Hearing Problem?: Carlton J. Zdanski, MD, FAAP, FACS, Chief of Pediatric Otolaryngology at the University of north Carolina Chapel Hill and Surgical Director at the north Carolina Children's Airway Center, describes the process for evaluation and treatment for hearing loss in infants and children. ",https://aspo.us/page/familywebinars,5:40,,1.4,,,
Development,Early Learning and Development,"TheISProject. (2012, December 22). Infantile Spasms 1 [Video]. YouTube. https://www.youtube.com/watch?v=nWfWwoWBCGY",Infantile Spasms: Example of what infantile spasms may look like in an infant. ,https://www.youtube.com/watch?v=nWfWwoWBCGY,1:13,2012,1.4,,,
Development,Early Learning and Development,"Mayo Clinic. (2023, February 27). Mayo Clinic Minute: Tongue-tie in babies [Video]. YouTube. https://www.youtube.com/watch?v=va4hEEDmNzk","Tongue-tie in Infants and Young Children: Latching and feeding challenges can be caused by a number of issues. Rebekah Huppert, a Mayo Clinic lactation consultant, says tongue-tie sometimes could be to blame.",https://www.youtube.com/watch?v=va4hEEDmNzk,1:10,2023,1.4,,,
Development,Early Learning and Development,"Colorado Department of Education. (2021, July 30). Samantha on the Playground [Video]. YouTube. https://www.youtube.com/watch?v=ednPM16yhdE",Samantha on the Playground: Preschooler Samantha demonstrates a variety of gross motor skills on the playground.,https://www.youtube.com/watch?v=ednPM16yhdE,1:46,2021,1.2,,,
Development,Early Learning and Development,"Colorado Department of Education. (2021, July 30).  Gabby and Nicholas [Video]. YouTube.  https://www.youtube.com/watch?v=hZRpbqQpABU","Gabby and Nicholas: Toddlers Gabby and Nicholas demonstrate a variety of cognitive, social-emotional, and motor skills as they engage with objects and with one another.",https://www.youtube.com/watch?v=hZRpbqQpABU,2:20,2021,1.2,,,
Development,Early Learning and Development,"Centers for Disease Control and Prevention. (2016, October 3). Role of CDC in Early Hearing Detection and Intervention (in ASL) [Video]. YouTube. https://www.youtube.com/watch?v=14SjcMwwNhM","Role of CDC in Early Hearing Detection and Intervention (in ASL): In American Sign Language, a CDC epidemiologist briefly describes CDC’s role in early hearing detection and intervention. (no audio, but with captioning)",https://www.youtube.com/watch?v=14SjcMwwNhM,4:32,2016,1.3,F7,,
Development,Social Emotional,National Center for Pyramid Model Innovations. (n.d.) Pyramid Model Overview [Video]. National Center for Pyramid Model Innovations. https://challengingbehavior.cbcs.usf.edu/Pyramid/overview/index.html,Pyramid Model Overview: The Pyramid Model for Promoting Social-Emotional Competence in Infants and Young Children (Pyramid Model) is a conceptual framework of evidence-based practices for promoting young children’s healthy social and emotional development. This video provides an overview of the structure and levels of support.,https://challengingbehavior.cbcs.usf.edu/Pyramid/overview/index.html,8:58,,6.4,INS2,,
Development,Early Learning and Development ,"Suitt, R. [Robin Suitt]. (2014, September 21). CDE Baby Human to Relate 5 Perspective [Video]. YouTube. https://www.youtube.com/watch?v=mfn1FRZSxgU&list=PLU4QkAf6LLaPcAPZ_yqyTlINqKar852mr",CDE Baby Human To Relate 5 Perspective: The ability to understand and relate to the perspective of others is studied within a research lab and related to everyday experiences in learning. ,https://youtu.be/4dZfM9QUBfg?si=ZE4wSFkzeO43yfJL,10:32,2014,1.2,,,
Development,Brain Development,"Misti Cave. (2018, December 3). Nurturing your child’s early brain development [Video]. YouTube. https://www.youtube.com/watch?v=hTlVCpQI0AA",Nurturing Your Child's Early Brain Development: Interview regarding toxic stress and brain development in children.,https://www.youtube.com/watch?v=hTlVCpQI0AA,4:35,2018,1.2,,,
Development,Developmentally Appropriate Practice,Zero to Three & Fred Rogers Center for Early Learning and Children's Media at Saint Vincent College. (2015). Nice Catch! [Video]. Zero to Three. https://www.zerotothree.org/resources/381-nice-catch,Nice Catch!: A preschooler builds physical skills and persistence as she plays ball with her dad.,https://www.zerotothree.org/resources/381-nice-catch,1:14,2015,6.5,INS7,,
Development,Early Learning and Development,Zero to Three. (2013). Magic of Everyday Moments: Temperament [Video]. Zero to Three. https://www.zerotothree.org/early-development/temperament,"Magic of Everyday Moments: Temperament: Temperament is defined and its biological base emphasized. The key characteristics of temperament:  emotional intensity, sensory reactivity, activity level, adaptability, persistence are discussed.  In addition, the impact of temperament on children’s behavior is highlighted. ",https://www.zerotothree.org/early-development/temperament,4:37,2013,1.3,,,
Development ,Social Bias,MIND in the Making & Vroom.(n.d.). An Experiment in Catching Social Bias[Video]. Vimeo. https://vimeo.com/456230195/8768440076,"An Experiment in Catching Social Bias: Illustrates how children learn biases by watching the attitudes, words, mannerisms, and tone of voice of the adults in their lives. ",https://vimeo.com/456230195/8768440076,4:49,,1.3,,,
Development ,Brain Development,"Brain Matters. (2020, January 28). Brain Matters Documentary - Early Childhood Development [Video]. Youtube. https://www.youtube.com/watch?v=Rw_aVnlp0JY","Brain Matters documentary - Early Childhood Development: Describes that the experiences children are exposed to determine their chances for future success. Everyday situations such as play, relationships, language and nutrition are examined with a fresh scientific approach, aiming at a set of brain boosting skills and activities that can provide every child with the opportunity to thrive.",https://www.youtube.com/watch?v=Rw_aVnlp0JY,11:51,2020,1.3,,,
Development ,Inclusion,"Colorado Department of Education. (2014). Friendship, Inclusion, and Learning [Video]. YouTube. https://www.youtube.com/watch?v=-SlTrYePC0w","Friendship, Inclusion, and Learning: This story is about a friendship that developed between two girls in a preschool classroom.  The children’s parents and teacher describe how the friendship helped both girls progress in developing social and academic skills.",https://www.youtube.com/watch?v=-SlTrYePC0w,7:25,2014,1.3,,,
